"PARID","LUC","LUC_desc","situs","NAME","year","if1991","yearGroup"
"6903 00644100","R-10","R - Single Family/Cabin","772  SLATE HILL DR","East Nottingham",1999,"1991 or Later","1991-2000"
"6903 00644200","R-10","R - Single Family/Cabin","776  SLATE HILL DR","East Nottingham",2000,"1991 or Later","1991-2000"
"6903 00644300","R-10","R - Single Family/Cabin","780  SLATE HILL DR","East Nottingham",2000,"1991 or Later","1991-2000"
"6903 00644400","R-10","R - Single Family/Cabin","784  SLATE HILL DR","East Nottingham",2000,"1991 or Later","1991-2000"
"6903 00644500","R-10","R - Single Family/Cabin","788  SLATE HILL DR","East Nottingham",2002,"1991 or Later","2001-2010"
"6903 00644600","R-10","R - Single Family/Cabin","798  SLATE HILL DR","East Nottingham",1999,"1991 or Later","1991-2000"
"6903 00644700","R-10","R - Single Family/Cabin","802  SLATE HILL DR","East Nottingham",1999,"1991 or Later","1991-2000"
"6903 00644800","R-10","R - Single Family/Cabin","806  SLATE HILL DR","East Nottingham",1999,"1991 or Later","1991-2000"
"6903 00644900","R-10","R - Single Family/Cabin","810  SLATE HILL DR","East Nottingham",2001,"1991 or Later","2001-2010"
"6903 00645000","R-10","R - Single Family/Cabin","814  SLATE HILL DR","East Nottingham",1999,"1991 or Later","1991-2000"
"6903 00645100","R-10","R - Single Family/Cabin","818  SLATE HILL DR","East Nottingham",2001,"1991 or Later","2001-2010"
"6903 00645200","R-10","R - Single Family/Cabin","822  SLATE HILL DR","East Nottingham",2000,"1991 or Later","1991-2000"
"6903 00645300","R-10","R - Single Family/Cabin","826  SLATE HILL DR","East Nottingham",2000,"1991 or Later","1991-2000"
"6903 00645400","R-10","R - Single Family/Cabin","830  SLATE HILL DR","East Nottingham",2000,"1991 or Later","1991-2000"
"6903 00645500","R-10","R - Single Family/Cabin","834  SLATE HILL DR","East Nottingham",1999,"1991 or Later","1991-2000"
"6903 00645600","R-10","R - Single Family/Cabin","841  SLATE HILL DR","East Nottingham",2000,"1991 or Later","1991-2000"
"6903 00645700","R-10","R - Single Family/Cabin","837  SLATE HILL DR","East Nottingham",2000,"1991 or Later","1991-2000"
"6903 00645800","R-10","R - Single Family/Cabin","833  SLATE HILL DR","East Nottingham",1999,"1991 or Later","1991-2000"
"6903 00645900","R-10","R - Single Family/Cabin","829  SLATE HILL DR","East Nottingham",1999,"1991 or Later","1991-2000"
"6903 00646000","R-10","R - Single Family/Cabin","825  SLATE HILL DR","East Nottingham",2000,"1991 or Later","1991-2000"
"6903 00646100","R-10","R - Single Family/Cabin","821  SLATE HILL DR","East Nottingham",1999,"1991 or Later","1991-2000"
"6903 00646200","R-10","R - Single Family/Cabin","817  SLATE HILL DR","East Nottingham",1999,"1991 or Later","1991-2000"
"6903 00646300","R-10","R - Single Family/Cabin","813  SLATE HILL DR","East Nottingham",2000,"1991 or Later","1991-2000"
"6903 00646400","R-10","R - Single Family/Cabin","809  SLATE HILL DR","East Nottingham",1999,"1991 or Later","1991-2000"
"6903 00646500","R-10","R - Single Family/Cabin","805  SLATE HILL DR","East Nottingham",2000,"1991 or Later","1991-2000"
"6903 00646600","R-10","R - Single Family/Cabin","797  SLATE HILL DR","East Nottingham",2000,"1991 or Later","1991-2000"
"6903 00646700","R-10","R - Single Family/Cabin","793  SLATE HILL DR","East Nottingham",2001,"1991 or Later","2001-2010"
"6903 00646800","R-10","R - Single Family/Cabin","787  SLATE HILL DR","East Nottingham",2000,"1991 or Later","1991-2000"
"6903 00646900","R-10","R - Single Family/Cabin","901  OLD LIBRARY LN","East Nottingham",2000,"1991 or Later","1991-2000"
"6903 00647000","R-10","R - Single Family/Cabin","905  OLD LIBRARY LN","East Nottingham",2000,"1991 or Later","1991-2000"
"6903 00647100","R-10","R - Single Family/Cabin","909  OLD LIBRARY LN","East Nottingham",2000,"1991 or Later","1991-2000"
"6903 00647200","R-10","R - Single Family/Cabin","913  OLD LIBRARY LN","East Nottingham",2000,"1991 or Later","1991-2000"
"6903 00647300","R-10","R - Single Family/Cabin","917  OLD LIBRARY LN","East Nottingham",1999,"1991 or Later","1991-2000"
"6903 00647400","R-10","R - Single Family/Cabin","921  OLD LIBRARY LN","East Nottingham",2000,"1991 or Later","1991-2000"
"6903 00647500","R-10","R - Single Family/Cabin","925  OLD LIBRARY LN","East Nottingham",2000,"1991 or Later","1991-2000"
"6903 00647600","R-10","R - Single Family/Cabin","938  OLD LIBRARY LN","East Nottingham",2000,"1991 or Later","1991-2000"
"6903 00647700","R-10","R - Single Family/Cabin","713  SLATE HILL DR","East Nottingham",2000,"1991 or Later","1991-2000"
"6903 00647800","R-10","R - Single Family/Cabin","719  SLATE HILL DR","East Nottingham",2000,"1991 or Later","1991-2000"
"6903 00647900","R-10","R - Single Family/Cabin","735  SLATE HILL DR","East Nottingham",2001,"1991 or Later","2001-2010"
"6903 00648000","R-10","R - Single Family/Cabin","739  SLATE HILL DR","East Nottingham",2000,"1991 or Later","1991-2000"
"6903 00648100","R-10","R - Single Family/Cabin","743  SLATE HILL DR","East Nottingham",2000,"1991 or Later","1991-2000"
"6903 00648200","R-10","R - Single Family/Cabin","747  SLATE HILL DR","East Nottingham",2000,"1991 or Later","1991-2000"
"6903 00648300","R-10","R - Single Family/Cabin","751  SLATE HILL DR","East Nottingham",2001,"1991 or Later","2001-2010"
"6903 00648400","R-10","R - Single Family/Cabin","755  SLATE HILL DR","East Nottingham",2001,"1991 or Later","2001-2010"
"6903 00648500","R-10","R - Single Family/Cabin","763  SLATE HILL DR","East Nottingham",2000,"1991 or Later","1991-2000"
"6903 00648600","R-10","R - Single Family/Cabin","767  SLATE HILL DR","East Nottingham",2000,"1991 or Later","1991-2000"
"6903 00648700","R-10","R - Single Family/Cabin","771  SLATE HILL DR","East Nottingham",2001,"1991 or Later","2001-2010"
"6903 00648800","R-10","R - Single Family/Cabin","775  SLATE HILL DR","East Nottingham",2001,"1991 or Later","2001-2010"
"6903 00648900","R-10","R - Single Family/Cabin","904  OLD LIBRARY LN","East Nottingham",2000,"1991 or Later","1991-2000"
"6903 00649000","R-10","R - Single Family/Cabin","908  OLD LIBRARY LN","East Nottingham",2000,"1991 or Later","1991-2000"
"6903 00649100","R-10","R - Single Family/Cabin","916  OLD LIBRARY LN","East Nottingham",1999,"1991 or Later","1991-2000"
"6903 00649200","R-10","R - Single Family/Cabin","920  OLD LIBRARY LN","East Nottingham",2000,"1991 or Later","1991-2000"
"6903 00649300","R-10","R - Single Family/Cabin","924  OLD LIBRARY LN","East Nottingham",2000,"1991 or Later","1991-2000"
"6903 00649400","R-10","R - Single Family/Cabin","928  OLD LIBRARY LN","East Nottingham",2000,"1991 or Later","1991-2000"
"6903 00649500","R-10","R - Single Family/Cabin","932  OLD LIBRARY LN","East Nottingham",2001,"1991 or Later","2001-2010"
"6903 01070000","R-10","R - Single Family/Cabin","35  MORNINGMIST LN","East Nottingham",1995,"1991 or Later","1991-2000"
"6904 00170000","R-10","R - Single Family/Cabin","381  LITTLE ELK CREEK RD","East Nottingham",1940,"Before 1991","1950 or older"
"6904 00360000","R-10","R - Single Family/Cabin","229  HIGHLAND VIEW DR","East Nottingham",1997,"1991 or Later","1991-2000"
"6904 00390000","R-10","R - Single Family/Cabin","226  HIGHLAND VIEW DR","East Nottingham",1997,"1991 or Later","1991-2000"
"6904 00410000","R-10","R - Single Family/Cabin","222  HIGHLAND VIEW DR","East Nottingham",1997,"1991 or Later","1991-2000"
"6904 00530000","R-10","R - Single Family/Cabin","104  BRYANS WAY","East Nottingham",1997,"1991 or Later","1991-2000"
"6905 00122100","R-10","R - Single Family/Cabin","1130  LEES BRIDGE RD","East Nottingham",1970,"Before 1991","1961-1970"
"6905 00211500","R-10","R - Single Family/Cabin","1101  LEES BRIDGE RD","East Nottingham",2005,"1991 or Later","2001-2010"
"6905 02370000","R-10","R - Single Family/Cabin","105  LINCOLNSHIRE ST","East Nottingham",2023,"1991 or Later","2011-2022"
"6905 02520000","R-10","R - Single Family/Cabin","245  BUCKINGHAM ST","East Nottingham",2023,"1991 or Later","2011-2022"
"6905 02920000","R-10","R - Single Family/Cabin","104  LINCOLNSHIRE ST","East Nottingham",2023,"1991 or Later","2011-2022"
"6906 00101800","R-10","R - Single Family/Cabin","394  HIGHLAND CRT","East Nottingham",2018,"1991 or Later","2011-2022"
"6906 001018A0","R-10","R - Single Family/Cabin","398  HIGHLAND CRT","East Nottingham",2017,"1991 or Later","2011-2022"
"6906 00550300","R-10","R - Single Family/Cabin","116  COOPER LN","East Nottingham",2003,"1991 or Later","2001-2010"
"6906 00550400","R-10","R - Single Family/Cabin","120  COOPER LN","East Nottingham",2003,"1991 or Later","2001-2010"
"6906 00550500","R-10","R - Single Family/Cabin","124  COOPER RD","East Nottingham",2003,"1991 or Later","2001-2010"
"6906 00550600","R-10","R - Single Family/Cabin","252  ASHLEYS WAY","East Nottingham",2017,"1991 or Later","2011-2022"
"6906 00550700","R-10","R - Single Family/Cabin","267  ASHLEYS WAY","East Nottingham",2017,"1991 or Later","2011-2022"
"6906 00550800","R-10","R - Single Family/Cabin","136  COOPER LN","East Nottingham",2019,"1991 or Later","2011-2022"
"6906 00551000","R-10","R - Single Family/Cabin","141  COOPER FARM","East Nottingham",2003,"1991 or Later","2001-2010"
"6906 00551100","R-10","R - Single Family/Cabin","137  COOPER LN","East Nottingham",2003,"1991 or Later","2001-2010"
"6906 00551200","R-10","R - Single Family/Cabin","133  COOPER LN","East Nottingham",2003,"1991 or Later","2001-2010"
"6906 00551300","R-10","R - Single Family/Cabin","131  COOPER LN","East Nottingham",2003,"1991 or Later","2001-2010"
"6906 00551400","R-10","R - Single Family/Cabin","129  COOPER LN","East Nottingham",2004,"1991 or Later","2001-2010"
"6906 00551500","R-10","R - Single Family/Cabin","125  COOPER LN","East Nottingham",2003,"1991 or Later","2001-2010"
"6906 00551600","R-10","R - Single Family/Cabin","121  COOPER LN","East Nottingham",2003,"1991 or Later","2001-2010"
"6906 00551700","R-10","R - Single Family/Cabin","117  COOPER LN","East Nottingham",2003,"1991 or Later","2001-2010"
"6906 00551800","R-10","R - Single Family/Cabin","115  COOPER LN","East Nottingham",2003,"1991 or Later","2001-2010"
"6906 00552100","R-10","R - Single Family/Cabin","209  ASHLEYS WAY","East Nottingham",2018,"1991 or Later","2011-2022"
"6906 00552200","R-10","R - Single Family/Cabin","213  ASHLEYS WAY","East Nottingham",2019,"1991 or Later","2011-2022"
