"PARID","LUC","LUC_desc","situs","NAME","year","if1991","yearGroup"
"1703G01700000","R-10","R - Single Family/Cabin","1403  COVENTRY POINTE LN","North Coventry",1994,"1991 or Later","1991-2000"
"1703G01710000","R-10","R - Single Family/Cabin","1404  COVENTRY POINTE LN","North Coventry",1994,"1991 or Later","1991-2000"
"1703G01720000","R-10","R - Single Family/Cabin","1405  COVENTRY POINTE LN","North Coventry",1994,"1991 or Later","1991-2000"
"1703G01730000","R-10","R - Single Family/Cabin","1501  COVENTRY POINTE LN","North Coventry",1994,"1991 or Later","1991-2000"
"1703G01740000","R-10","R - Single Family/Cabin","1502  COVENTRY POINTE LN","North Coventry",1994,"1991 or Later","1991-2000"
"1703G01750000","R-10","R - Single Family/Cabin","1503  COVENTRY POINTE LN","North Coventry",1994,"1991 or Later","1991-2000"
"1703G01760000","R-10","R - Single Family/Cabin","1504  COVENTRY POINTE LN","North Coventry",1994,"1991 or Later","1991-2000"
"1703G01770000","R-10","R - Single Family/Cabin","1505  COVENTRY POINTE LN","North Coventry",1994,"1991 or Later","1991-2000"
"1703G01780000","R-10","R - Single Family/Cabin","1506  COVENTRY POINTE LN","North Coventry",1994,"1991 or Later","1991-2000"
"1703G01790000","R-10","R - Single Family/Cabin","1601  COVENTRY POINTE LN","North Coventry",1994,"1991 or Later","1991-2000"
"1703G01800000","R-10","R - Single Family/Cabin","1602  COVENTRY POINTE LN","North Coventry",1994,"1991 or Later","1991-2000"
"1703G01810000","R-10","R - Single Family/Cabin","1603  COVENTRY POINTE LN","North Coventry",1994,"1991 or Later","1991-2000"
"1703G01820000","R-10","R - Single Family/Cabin","1604  COVENTRY POINTE LN","North Coventry",1994,"1991 or Later","1991-2000"
"1703G01830000","R-10","R - Single Family/Cabin","1605  COVENTRY POINTE LN","North Coventry",1994,"1991 or Later","1991-2000"
"1703G01840000","R-10","R - Single Family/Cabin","1606  COVENTRY POINTE LN","North Coventry",1994,"1991 or Later","1991-2000"
"1703G01850000","R-10","R - Single Family/Cabin","1701  COVENTRY POINTE LN","North Coventry",1994,"1991 or Later","1991-2000"
"1703G01860000","R-10","R - Single Family/Cabin","1702  COVENTRY POINTE LN","North Coventry",1994,"1991 or Later","1991-2000"
"1703G01870000","R-10","R - Single Family/Cabin","1703  COVENTRY POINTE LN","North Coventry",1994,"1991 or Later","1991-2000"
"1703G01880000","R-10","R - Single Family/Cabin","1704  COVENTRY POINTE LN","North Coventry",1994,"1991 or Later","1991-2000"
"1703G01890000","R-10","R - Single Family/Cabin","1705  COVENTRY POINTE LN","North Coventry",1994,"1991 or Later","1991-2000"
"1703G01900000","R-10","R - Single Family/Cabin","1706  COVENTRY POINTE LN","North Coventry",1994,"1991 or Later","1991-2000"
"1703G01910000","R-10","R - Single Family/Cabin","1801  COVENTRY POINTE LN","North Coventry",1991,"1991 or Later","1991-2000"
"1703G01920000","R-10","R - Single Family/Cabin","1802  COVENTRY POINTE LN","North Coventry",1994,"1991 or Later","1991-2000"
"1703G01930000","R-10","R - Single Family/Cabin","1803  COVENTRY POINTE LN","North Coventry",1994,"1991 or Later","1991-2000"
