PARID,LUC,LUC_desc,PROPERTY_LOC,PropLoc_desc,PROPERTY_CLASS,NBHD,ZONING,WATER,Water_desc,DEGREE_REMOD,degree_remod_desc,YEAR_REMOD,YRBLT,COMM_YRBLT,X_CO,Y_CO,situs
0401 00750000,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04001000,R1,1,Public,6,Complete Rehab,2019,1900,,2521378,186365,307 E THIRD ST
0401 00750100,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04001000,R1,1,Public,,Not Listed,,1958,,2521327,186335,305 E THIRD ST
0401 00760000,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04001000,R1,1,Public,,Not Listed,,1900,,2521457,186416,311 E THIRD ST
0401 0076000E,E-10,E - Churches,6,Neighborhood or Spot,E,99046000,R1,1,Public,,Not Listed,,,1899,2521457,186416,309 E THIRD ST
0401 00770000,V-12,R - OPEN SPACE,6,Neighborhood or Spot,R,04001000,R1,3,None,,Not Listed,,,,2522140,186945,104 GARNER DR
0401 00770100,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04370000,R1,1,Public,,Not Listed,,2010,,2522235,187148,101 GARNER DR
0401 00770200,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04370000,R1,1,Public,,Not Listed,,2010,,2522207,187144,103 GARNER DR
0401 00770300,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04370000,R1,1,Public,,Not Listed,,2010,,2522183,187140,105 GARNER DR
0401 00770400,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04370000,R1,1,Public,,Not Listed,,2010,,2522159,187137,107 GARNER DR
0401 00770500,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04370000,R1,1,Public,,Not Listed,,2010,,2522135,187134,109 GARNER DR
0401 00770600,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04370000,R1,1,Public,,Not Listed,,2012,,2522107,187130,111 GARNER DR
0401 00770700,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04370000,R1,1,Public,,Not Listed,,2009,,2522073,187125,113 GARNER DR
0401 00770800,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04370000,R1,1,Public,,Not Listed,,2009,,2522044,187121,115 GARNER DR
0401 00770900,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04370000,R1,1,Public,,Not Listed,,2010,,2522021,187118,117 GARNER DR
0401 00771000,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04370000,R1,1,Public,,Not Listed,,2010,,2521992,187114,119 GARNER DR
0401 00771100,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04370000,R1,1,Public,,Not Listed,,2011,,2521876,187098,127 GARNER DR
0401 00771200,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04370000,R1,1,Public,,Not Listed,,2010,,2521847,187094,129 GARNER DR
0401 00771300,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04370000,R1,1,Public,,Not Listed,,2010,,2521823,187090,131 GARNER DR
0401 00771400,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04370000,R1,1,Public,,Not Listed,,2010,,2521795,187086,133 GARNER DR
0401 00771500,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04370000,R1,1,Public,,Not Listed,,2011,,2521761,187081,135 GARNER DR
0401 00771600,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04370000,R1,1,Public,,Not Listed,,2011,,2521732,187077,137 GARNER DR
0401 00771700,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04370000,R1,1,Public,,Not Listed,,2010,,2521709,187072,139 GARNER DR
0401 00771800,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04370000,R1,1,Public,,Not Listed,,2010,,2521670,187077,141 GARNER DR
0401 00771900,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04370000,R1,1,Public,,Not Listed,,2011,,2521634,187071,145 GARNER DR
0401 00772000,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04370000,R1,1,Public,,Not Listed,,2011,,2521617,187027,147 GARNER DR
0401 00772100,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04370000,R1,1,Public,,Not Listed,,2011,,2521600,187011,149 GARNER DR
0401 00772200,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04370000,R1,1,Public,,Not Listed,,2011,,2521582,186989,151 GARNER DR
0401 00772300,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04370000,R1,3,None,,Not Listed,,2010,,2522065,187005,200 MULLEN DR
0401 00772400,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04370000,R1,1,Public,,Not Listed,,2010,,2522063,186976,202 MULLEN DR
0401 00772500,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04370000,R1,1,Public,5,Kitchen Remodeling,2022,2010,,2522062,186951,204 MULLEN DR
0401 00772600,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04370000,R1,1,Public,,Not Listed,,2010,,2522061,186922,206 MULLEN DR
0401 00772700,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04370000,R1,1,Public,,Not Listed,,2011,,2522057,186888,208 MULLEN DR
0401 00772800,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04370000,R1,1,Public,,Not Listed,,2011,,2522052,186860,210 MULLEN DR
0401 00772900,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04370000,R1,1,Public,,Not Listed,,2011,,2522048,186836,212 MULLEN DR
0401 00773000,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04370000,R1,1,Public,,Not Listed,,2011,,2522043,186813,214 MULLEN DR
0401 00773100,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04370000,R1,1,Public,,Not Listed,,2011,,2522036,186789,216 MULLEN DR
0401 00773200,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04370000,R1,1,Public,,Not Listed,,2011,,2522028,186752,218 MULLEN DR
0401 00773300,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04370000,R1,1,Public,,Not Listed,,2011,,2522011,186706,222 MULLEN DR
0401 00773400,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04370000,R1,1,Public,,Not Listed,,2011,,2521962,186711,224 MULLEN DR
0401 00773500,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04370000,R1,1,Public,,Not Listed,,2012,,2521941,186708,226 MULLEN DR
0401 00773600,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04370000,R1,1,Public,,Not Listed,,2011,,2521915,186701,228 MULLEN DR
0401 00773700,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04370000,R1,1,Public,,Not Listed,,2012,,2521881,186697,232 MULLEN DR
0401 00773800,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04370000,R1,1,Public,,Not Listed,,2012,,2521852,186697,234 MULLEN DR
0401 00773900,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04370000,R1,1,Public,,Not Listed,,2012,,2521828,186696,236 MULLEN DR
0401 00774000,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04370000,R1,1,Public,,Not Listed,,2012,,2521790,186693,238 MULLEN DR
0401 00774100,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04370000,R1,1,Public,,Not Listed,,2009,,2521923,186980,203 MULLEN DR
0401 00774200,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04370000,R1,1,Public,,Not Listed,,2009,,2521924,186951,205 MULLEN DR
0401 00774300,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04370000,R1,1,Public,,Not Listed,,2009,,2521925,186927,207 MULLEN DR
0401 00774400,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04370000,R1,1,Public,,Not Listed,,2010,,2521925,186898,209 MULLEN DR
0401 00774500,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04370000,R1,1,Public,,Not Listed,,2012,,2521918,186834,227 MULLEN DR
0401 00774600,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04370000,R1,1,Public,,Not Listed,,2012,,2521890,186830,229 MULLEN DR
0401 00774700,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04370000,R1,1,Public,,Not Listed,,2012,,2521866,186828,231 MULLEN DR
0401 00774800,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04370000,R1,1,Public,,Not Listed,,2011,,2521842,186826,233 MULLEN DR
0401 00774900,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04370000,R1,1,Public,,Not Listed,,2012,,2521818,186824,235 MULLEN DR
0401 00775000,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04370000,R1,1,Public,,Not Listed,,2012,,2521791,186821,237 MULLEN DR
0401 00775100,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04370000,R1,1,Public,,Not Listed,,2013,,2521719,186843,162 GARNER DR
0401 00775200,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04370000,R1,1,Public,,Not Listed,,2013,,2521716,186866,160 GARNER DR
0401 00775300,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04370000,R1,1,Public,,Not Listed,,2013,,2521714,186895,158 GARNER DR
0401 0077540E,E-12,E - Service Connected,6,Neighborhood or Spot,E,04370000,R1,1,Public,,Not Listed,,2010,,2521805,186607,313 E THIRD ST
0401 00775500,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04370000,R1,1,Public,,Not Listed,,2010,,2521854,186608,315 E THIRD ST
0401 00775600,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04370000,R1,1,Public,,Not Listed,,2010,,2522015,186623,319 E THIRD ST
0401 00775700,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04370000,R1,1,Public,6,Complete Rehab,2018,2010,,2522056,186630,321 E THIRD ST
0401 00775800,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04370000,R1,1,Public,,Not Listed,,2013,,2521726,186814,164 GARNER DR
0401 00775900,V-12,R - OPEN SPACE,6,Neighborhood or Spot,R,04370000,R1,3,None,,Not Listed,,,,2521540,186904,
0401 00776000,V-12,R - OPEN SPACE,6,Neighborhood or Spot,R,04370000,R1,3,None,,Not Listed,,,,2521934,187106,
0401 00776100,V-12,R - OPEN SPACE,6,Neighborhood or Spot,R,04370000,R1,3,None,,Not Listed,,,,2521739,186782,
0401 00776200,V-12,R - OPEN SPACE,6,Neighborhood or Spot,R,04370000,R1,3,None,,Not Listed,,,,2521811,186938,
0401 00776300,V-12,R - OPEN SPACE,6,Neighborhood or Spot,R,04370000,R1,3,None,,Not Listed,,,,2522265,187153,
0401 00776400,V-12,R - OPEN SPACE,6,Neighborhood or Spot,R,04370000,R1,3,None,,Not Listed,,,,2521952,186849,
