"PARID","LUC","LUC_desc","situs","NAME","year","if1991","yearGroup"
"6004 004605R0","R-10","R - Single Family/Cabin","1  EAGLE WAY","New Garden",1995,"1991 or Later","1991-2000"
"6004 004701A0","R-10","R - Single Family/Cabin","101  BERKSHIRE LN","New Garden",1998,"1991 or Later","1991-2000"
"6004 004701B0","R-10","R - Single Family/Cabin","103  BERKSHIRE LN","New Garden",1998,"1991 or Later","1991-2000"
"6004 004701C0","R-10","R - Single Family/Cabin","105  BERKSHIRE LN","New Garden",1999,"1991 or Later","1991-2000"
"6004 004701D0","R-10","R - Single Family/Cabin","107  BERKSHIRE LN","New Garden",1998,"1991 or Later","1991-2000"
"6004 004701E0","R-10","R - Single Family/Cabin","109  BERKSHIRE LN","New Garden",1998,"1991 or Later","1991-2000"
"6004 004701F0","R-10","R - Single Family/Cabin","102  BROOKLINE CRT","New Garden",1999,"1991 or Later","1991-2000"
"6004 004701G0","R-10","R - Single Family/Cabin","104  BROOKLINE CRT","New Garden",1998,"1991 or Later","1991-2000"
"6004 004701H0","R-10","R - Single Family/Cabin","106  BROOKLINE DR","New Garden",1999,"1991 or Later","1991-2000"
"6004 004701J0","R-10","R - Single Family/Cabin","108  BROOKLINE CRT","New Garden",1998,"1991 or Later","1991-2000"
"6004 004701K0","R-10","R - Single Family/Cabin","111  BROOKLINE CRT","New Garden",1999,"1991 or Later","1991-2000"
"6004 004701L0","R-10","R - Single Family/Cabin","109  BROOKLINE CRT","New Garden",1999,"1991 or Later","1991-2000"
"6004 004701M0","R-10","R - Single Family/Cabin","107  BROOKLINE CRT","New Garden",1999,"1991 or Later","1991-2000"
"6004 004701N0","R-10","R - Single Family/Cabin","105  BROOKLINE CRT","New Garden",1999,"1991 or Later","1991-2000"
"6004 004701P0","R-10","R - Single Family/Cabin","103  BROOKLINE CRT","New Garden",1999,"1991 or Later","1991-2000"
"6004 004701Q0","R-10","R - Single Family/Cabin","101  BROOKLINE CRT","New Garden",1999,"1991 or Later","1991-2000"
"6004 00470400","R-10","R - Single Family/Cabin","101  HARTEFELD DR","New Garden",2000,"1991 or Later","1991-2000"
"6004 00470500","R-10","R - Single Family/Cabin","103  HARTEFELD DR","New Garden",1999,"1991 or Later","1991-2000"
"6004 00470600","R-10","R - Single Family/Cabin","105  HARTEFELD DR","New Garden",1999,"1991 or Later","1991-2000"
"6004 00470700","R-10","R - Single Family/Cabin","107  HARTEFELD DR","New Garden",2000,"1991 or Later","1991-2000"
"6004 00470800","R-10","R - Single Family/Cabin","109  HARTEFELD DR","New Garden",1999,"1991 or Later","1991-2000"
"6004 00470900","R-10","R - Single Family/Cabin","111  HARTEFELD DR","New Garden",1999,"1991 or Later","1991-2000"
"6004 00471000","R-10","R - Single Family/Cabin","113  HARTEFELD DR","New Garden",2000,"1991 or Later","1991-2000"
"6004 00471100","R-10","R - Single Family/Cabin","115  HARTEFELD DR","New Garden",2000,"1991 or Later","1991-2000"
"6004 00471200","R-10","R - Single Family/Cabin","117  HARTEFELD DR","New Garden",1999,"1991 or Later","1991-2000"
"6004 00471300","R-10","R - Single Family/Cabin","119  HARTEFELD DR","New Garden",1999,"1991 or Later","1991-2000"
"6004 00471400","R-10","R - Single Family/Cabin","121  HARTEFELD DR","New Garden",2000,"1991 or Later","1991-2000"
"6004 00471500","R-10","R - Single Family/Cabin","123  HARTEFELD DR","New Garden",1999,"1991 or Later","1991-2000"
"6004 004715A0","R-10","R - Single Family/Cabin","125  HARTEFELD DR","New Garden",2000,"1991 or Later","1991-2000"
"6004 00471600","R-10","R - Single Family/Cabin","124  HARTEFELD DR","New Garden",1999,"1991 or Later","1991-2000"
"6004 00471700","R-10","R - Single Family/Cabin","122  HARTEFELD DR","New Garden",1999,"1991 or Later","1991-2000"
"6004 00471800","R-10","R - Single Family/Cabin","120  HARTEFELD DR","New Garden",1999,"1991 or Later","1991-2000"
"6004 00471900","R-10","R - Single Family/Cabin","118  HARTEFELD DR","New Garden",1999,"1991 or Later","1991-2000"
"6004 00472100","R-10","R - Single Family/Cabin","116  HARTEFELD DR","New Garden",1999,"1991 or Later","1991-2000"
"6004 00472200","R-10","R - Single Family/Cabin","114  HARTEFELD DR","New Garden",1880,"Before 1991","1950 or older"
"6004 00472300","R-10","R - Single Family/Cabin","110  HARTEFELD DR","New Garden",2002,"1991 or Later","2001-2010"
"6004 00472400","R-10","R - Single Family/Cabin","108  HARTEFELD DR","New Garden",1999,"1991 or Later","1991-2000"
"6004 00472500","R-10","R - Single Family/Cabin","106  HARTEFELD DR","New Garden",2000,"1991 or Later","1991-2000"
"6004 00472600","R-10","R - Single Family/Cabin","104  HARTEFELD DR","New Garden",2001,"1991 or Later","2001-2010"
"6004 00472700","R-10","R - Single Family/Cabin","102  HARTEFELD DR","New Garden",2000,"1991 or Later","1991-2000"
"6004 004802A0","R-10","R - Single Family/Cabin","138  PORTHCAWL CRT","New Garden",2000,"1991 or Later","1991-2000"
"6004 004802B0","R-10","R - Single Family/Cabin","136  PORTHCAWL CRT","New Garden",2000,"1991 or Later","1991-2000"
"6004 004802C0","R-10","R - Single Family/Cabin","134  PORTHCAWL CRT","New Garden",2000,"1991 or Later","1991-2000"
"6004 004802D0","R-10","R - Single Family/Cabin","132  PORTHCAWL CRT","New Garden",2000,"1991 or Later","1991-2000"
"6004 004802E0","R-10","R - Single Family/Cabin","130  PORTHCAWL CRT","New Garden",2000,"1991 or Later","1991-2000"
"6004 004802F0","R-10","R - Single Family/Cabin","128  PORTHCAWL CRT","New Garden",2000,"1991 or Later","1991-2000"
"6004 004802G0","R-10","R - Single Family/Cabin","126  PORTHCAWL CRT","New Garden",2000,"1991 or Later","1991-2000"
"6004 004802H0","R-10","R - Single Family/Cabin","124  PORTHCAWL CRT","New Garden",2000,"1991 or Later","1991-2000"
"6004 004802J0","R-10","R - Single Family/Cabin","122  PORTHCAWL CRT","New Garden",2000,"1991 or Later","1991-2000"
"6004 004802K0","R-10","R - Single Family/Cabin","120  PORTHCAWL CRT","New Garden",2000,"1991 or Later","1991-2000"
"6004 004802L0","R-10","R - Single Family/Cabin","118  PORTHCAWL CRT","New Garden",2000,"1991 or Later","1991-2000"
"6004 004802M0","R-10","R - Single Family/Cabin","116  PORTHCAWL CRT","New Garden",2000,"1991 or Later","1991-2000"
"6004 004802N0","R-10","R - Single Family/Cabin","114  PORTHCAWL CRT","New Garden",2000,"1991 or Later","1991-2000"
"6004 004802P0","R-10","R - Single Family/Cabin","112  PORTHCAWL CRT","New Garden",2000,"1991 or Later","1991-2000"
"6004 004802Q0","R-10","R - Single Family/Cabin","110  PORTHCAWL CRT","New Garden",2000,"1991 or Later","1991-2000"
"6004 004802R0","R-10","R - Single Family/Cabin","108  PORTHCAWL CRT","New Garden",2000,"1991 or Later","1991-2000"
"6004 004802S0","R-10","R - Single Family/Cabin","106  PORTHCAWL CRT","New Garden",2000,"1991 or Later","1991-2000"
"6004 004802T0","R-10","R - Single Family/Cabin","104  PORTHCAWL CRT","New Garden",2000,"1991 or Later","1991-2000"
"6004 004802V0","R-10","R - Single Family/Cabin","102  PORTHCAWL CRT","New Garden",2000,"1991 or Later","1991-2000"
"6004 006203C0","R-10","R - Single Family/Cabin","110  CYPRESS POINT","New Garden",2000,"1991 or Later","1991-2000"
"6004 006203D0","R-10","R - Single Family/Cabin","108  CYPRESS POINT","New Garden",2001,"1991 or Later","2001-2010"
"6004 006203E0","R-10","R - Single Family/Cabin","106  CYPRESS CRT","New Garden",2001,"1991 or Later","2001-2010"
"6004 006203F0","R-10","R - Single Family/Cabin","104  CYPRESS POINT","New Garden",2000,"1991 or Later","1991-2000"
"6004 006203H0","R-10","R - Single Family/Cabin","101  CYPRESS POINT","New Garden",2001,"1991 or Later","2001-2010"
"6004 006203J0","R-10","R - Single Family/Cabin","103  CYPRESS POINT","New Garden",2000,"1991 or Later","1991-2000"
"6004 006203K0","R-10","R - Single Family/Cabin","105  CYPRESS POINT","New Garden",2000,"1991 or Later","1991-2000"
"6004 006203L0","R-10","R - Single Family/Cabin","107  CYPRESS POINT","New Garden",2001,"1991 or Later","2001-2010"
"6004 006203M0","R-10","R - Single Family/Cabin","109  CYPRESS POINT","New Garden",2000,"1991 or Later","1991-2000"
"6004 006203N0","R-10","R - Single Family/Cabin","111  CYPRESS POINT","New Garden",2000,"1991 or Later","1991-2000"
"6004 006203P0","R-10","R - Single Family/Cabin","113  CYPRESS POINT","New Garden",2000,"1991 or Later","1991-2000"
"6004 006203Q0","R-10","R - Single Family/Cabin","115  CYPRESS POINT","New Garden",2000,"1991 or Later","1991-2000"
"6004 00620600","R-10","R - Single Family/Cabin","80  COLONIAL FARM DR","New Garden",1946,"Before 1991","1950 or older"
"6004 00620600","R-10","R - Single Family/Cabin","80  COLONIAL FARM DR","New Garden",1950,"Before 1991","1950 or older"
"6004 00620600","R-10","R - Single Family/Cabin","80  COLONIAL FARM DR","New Garden",1946,"Before 1991","1950 or older"
"6004 00620600","R-10","R - Single Family/Cabin","80  COLONIAL FARM DR","New Garden",1940,"Before 1991","1950 or older"
"6004 00620600","R-10","R - Single Family/Cabin","80  COLONIAL FARM DR","New Garden",1933,"Before 1991","1950 or older"
"6004 00620600","R-10","R - Single Family/Cabin","80  COLONIAL FARM DR","New Garden",1910,"Before 1991","1950 or older"
"6004 00620600","R-10","R - Single Family/Cabin","80  COLONIAL FARM DR","New Garden",1900,"Before 1991","1950 or older"
"6004 00620600","R-10","R - Single Family/Cabin","80  COLONIAL FARM DR","New Garden",1963,"Before 1991","1961-1970"
"6004 00620600","R-10","R - Single Family/Cabin","80  COLONIAL FARM DR","New Garden",1920,"Before 1991","1950 or older"
